Tanggal,Transaksi ID,Kolak Pisang,Martabak Telur,Gemblong,Ketan,Lontong Sayur,Pastel telur,Onde-Onde,Risol Kampung,Bihun,Lontong Oncom,Nasi Kuning,Gado - gado betawi,Donat kentang ,Salad Buah,Asinan Buah,Tahu Isi,Mendoan ,Risoles Smoked Beef,Risoles Ayam,Risoles Mayo
5/1/2024,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
5/1/2024,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
5/1/2024,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5/1/2024,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
5/1/2024,5,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
5/1/2024,6,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5/1/2024,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1
5/1/2024,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
5/1/2024,9,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5/1/2024,10,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
5/2/2024,11,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5/2/2024,12,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
5/2/2024,13,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
5/2/2024,14,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/2/2024,15,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
5/2/2024,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
5/2/2024,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
5/2/2024,18,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
5/2/2024,19,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
5/2/2024,20,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5/2/2024,21,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
5/5/2024,22,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
5/5/2024,23,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0
5/5/2024,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
5/5/2024,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
5/5/2024,26,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
5/5/2024,27,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0
5/5/2024,28,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
5/5/2024,29,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5/5/2024,30,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5/5/2024,31,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
5/5/2024,32,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
5/5/2024,33,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
5/5/2024,34,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
5/5/2024,35,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
5/5/2024,36,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/5/2024,37,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/6/2024,38,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/6/2024,39,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
5/6/2024,40,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
5/6/2024,41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
5/6/2024,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
5/6/2024,43,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
5/6/2024,44,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
5/6/2024,45,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5/6/2024,46,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0
5/6/2024,47,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
